Erwähnung;Personenname
Wilhalm, Pfaltzgraf beÿRhein, Hertzog in Obern vnd Nidern Baÿern;Wilhelm V., Herzog (Bayern)
Wilhalm;Wilhelm V., Herzog (Bayern)
Philippj;Philipp II., Herzog (Pommern-Stettin)
Wilhelm V.;Wilhelm V., Herzog (Bayern)
Jhre Durchleucht;Wilhelm V., Herzog (Bayern)
Jch;Wilhelm V., Herzog (Bayern)
Philipp II.;Philipp II., Herzog (Pommern-Stettin)
Jhrer Durchleucht;Wilhelm V., Herzog (Bayern)
Durchleucht;Wilhelm V., Herzog (Bayern)
Sie;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Hannß Wachter;Hans Wachter
Wolfgang Agricola;Georg Wolfgang Agricola
Agricola;Georg Wolfgang Agricola
Agricolam;Georg Wolfgang Agricola
Jhrer Fürstlichen Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jhre Fürstliche Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
JhreFürstliche Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jhre Fürstliche gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jhren Fürstlichen gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Petrus Stephar-tius;Pieter Stevart
Stephartius;Pieter Stevart
Johann Conrads von Gemmingen;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jhre Fürstlich Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
JhrenFürstlichen Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
temperantia;Temperantia, Personifikation
prudentia;Prudentia, Personifikation
Jhr Fürstlichen Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Tumbherr;Johannes Cholinus
Rector;Simon de Labrique
Cammermaister;Georg Wolfgang Agricola
JhrFürstliche gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jh-rer Fürstlichen gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jhrer Fürstlichen gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Fürstliche gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
JhrerFürstlichen gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Jhren Fürstlichen Gnaden;Johann Konrad von Gemmingen, Bischof (Eichstätt)
Schön;Georg Schön
Regierenden Herren;Maximilian I., Herzog/Kurfürst (Bayern)
Herzog Albrecht;Albrecht VI., Landgraf (Bayern-Leuchtenberg)
Princeps;Johann Konrad von Gemmingen, Bischof (Eichstätt)
