Erwähnung;Personenname
Hannß Wachter;Hans Wachter
David Vllstets;David Ulstett
DorotheaMaria, Pfaltzgräfin, Aine geborne Hertzogin vonWürtenberg;Dorothea Maria von Pfalz-Sulzbach
Sabina;Sabina von Wartenberg
Su-sanna;Susanna von Pfalz-Lützelstein
Sebald Krau-sen;Sebald Kraus
Jeörg Forstenhausern;Georg Forstenheuser
Tochterman;Sebald Kraus
Vllstet;David Ulstett
Jeörg Forstenhäusern;Georg Forstenheuser
Friderich Falcken-burg;Frederik van Valckenborch
Grafvon Rechberg;Wolf Konrad von Rechberg
Kaÿserliche Maÿestett;Matthias, Kaiser (HRR)
Jhr Maÿestett;Matthias, Kaiser (HRR)
Churfürstlicher Durchleucht von Cöllen;Ferdinand, Kurfürst (Köln)
Leopoldj;Leopold V., Erzherzog (Österreich-Tirol)
Spanischeambassator;Baltasar de Zúñiga
Baltasar de Zuniga;Baltasar de Zúñiga
Churfürsten von Cöllen;Ferdinand, Kurfürst (Köln)
Christian von Brandenburg;Christian, Markgraf (Brandenburg-Kulmbach)
Margraf Albrecht;Georg Albrecht II., Markgraf (Brandenburg)
Joachim Ernst;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Bischoffvon Bamberg;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Glesel;Melchior Klesl
Kaÿserlichen Maÿestett;Matthias, Kaiser (HRR)
Kaÿserin;Anna, Kaiserin (HRR)
Leopold;Leopold V., Erzherzog (Österreich-Tirol)
Jhrer Maÿestett;Matthias, Kaiser (HRR)
Johann Berchtold;Johann Baptist Berchtold
Ain-speninger;Hans Wachter
grafen vonFürstenberg;Friedrich IV. von Fürstenberg-Heiligenberg
grafen von Lÿnar;Johann Kasimir zu Lynar
Jhrer Churfürstlichen Durchleucht vonCollen;Ferdinand, Kurfürst (Köln)
von Collabroth;Katharina von Kolowrat-Liebsteinsky
Maÿestet;Matthias, Kaiser (HRR)
Hofmaisterin;Katharina von Kolowrat-Liebsteinsky
Maÿestett;Matthias, Kaiser (HRR)
Kaÿsers;Matthias, Kaiser (HRR)
Rhemen;Georg Rem
Bernhard Nöttel;Bernhard Nöttel
Hannsen im Hof;Hans III Imhof
Vlstet;David Ulstett
Kaÿserlicher Maÿestet;Matthias, Kaiser (HRR)
Römische Kaÿserliche Maÿestett;Matthias, Kaiser (HRR)
gemahlin;Anna, Kaiserin (HRR)
Jhre Maÿestett;Matthias, Kaiser (HRR)
Kaiserlichen Maÿestätt;Matthias, Kaiser (HRR)
Römischer Kaÿserlicher Maÿestett;Matthias, Kaiser (HRR)
Jhre Maÿestet;Matthias, Kaiser (HRR)
Gemahlin;Anna, Kaiserin (HRR)
MATTHIA;Matthias, Kaiser (HRR)
MATTHI:AS IMPERATOR;Matthias, Kaiser (HRR)
Matthiae;Matthias, Kaiser (HRR)
Friderichen von Valckenburg;Frederik van Valckenborch
Sacrae Caesareae Maiestatis;Matthias, Kaiser (HRR)
Caesar;Matthias, Kaiser (HRR)
Induperator;Matthias, Kaiser (HRR)
Matthias;Matthias, Kaiser (HRR)
MATTHIAE;Matthias, Kaiser (HRR)
Kaÿserliche Maÿestet;Matthias, Kaiser (HRR)
induperator;Matthias, Kaiser (HRR)
Kaÿser;Matthias, Kaiser (HRR)
JhreMaÿestet;Matthias, Kaiser (HRR)
Schedel;Sebastian Schedel
Chri-stoff Kreß;Wolfgang Christoph Kress von Kressenstein
Backhauß;Bartholomäus Backhaus
Mang Dilherr;Magnus (Mang) Dilherr von Thummenberg
Sigmund Haller;Sigmund Haller von Hallerstein
Wilhelm imHof der Jünger;Wilhelm Imhof d. J.
Hannß Wilhelm Ebner;Johann Wilhelm Ebner von Eschenbach
Christoff Füerleger;Christoff Fürleger
Hanns Friderich Mar-schalck;Hans Friedrich Marschalck
Paulus Harstorffer;Paul Harsdörfer
Bremer;Georg Abraham Poemer
HannsSigmund Füerer;Johann Sigmund Fürer von Haimendorf
Martin Haller;Martin Haller von Hallerstein
Paulus Behem;Paulus Behaim von Schwarzbach
Jeorg Volckhamer;Georg Volckamer
Paulus Paumgarttner;Paul Baumgartner
Veit Engelhart Holtzschuher;Veit Engelhard Holtzschuher
Hieronÿmusim Hof;Johann Hieronymus Imhof
