Erwähnung;Personenname
Pfaltzgrafen WolfWilhelms;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Duce;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Fürstlichen Pfaltz-Newburgischen;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Fürstlichen Fräwlin;Magdalena von Bayern
Durchleuchtiger Hochgeborner Fürst, Euer Fürstliche Gnaden;Philipp II., Herzog (Pommern-Stettin)
Fürstlichen gnaden;Philipp II., Herzog (Pommern-Stettin)
Herrn Ferdinando, erwehlten vnd be-stettigten Ertzbischoffen zu Cölln;Ferdinand, Kurfürst (Köln)
Hertzog Maximilianus;Maximilian I., Herzog/Kurfürst (Bayern)
Herrn Churfürsten;Ferdinand, Kurfürst (Köln)
Johann Christophen;Johann Christoph von Westerstetten, Bischof (Eichstätt)
regierende;Maximilian I., Herzog/Kurfürst (Bayern)
Herr;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Pfaltzgrafen Phi-lipps Ludwigen;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
fraw Pfaltzgräffin;Anna von Pfalz-Neuburg
Herrn breutigams;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Churfürsten;Ferdinand, Kurfürst (Köln)
Herren Churfürsten;Ferdinand, Kurfürst (Köln)
Euer Fürstlichen gnaden;Philipp II., Herzog (Pommern-Stettin)
Bogislaw XIV.;Bogislaw XIV., Herzog (Pommern-Stettin)
Franz I.;Franz I., Herzog (Pommern-Stettin)
Jhre ChurfürstlicheDurchleucht;Ferdinand, Kurfürst (Köln)
regierede;Maximilian I., Herzog/Kurfürst (Bayern)
Durchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Jhre Durchleucht;Maximilian I., Herzog/Kurfürst (Bayern)
Jre Durchleucht;Wilhelm V., Herzog (Bayern)
Euer Fürstliche gnaden;Philipp II., Herzog (Pommern-Stettin)
grafen von Rech-berg;Wolf Konrad von Rechberg
Hertzog Wilhalm;Wilhelm V., Herzog (Bayern)
HertzoginMagdalenae;Magdalena von Bayern
