Erwähnung;Personenname
Hannß Wachtern;Hans Wachter
Schraam;David Schramm
August von Pfalz-Sulzbach;August, Pfalzgraf (Pfalz-Sulzbach)
Johann Friedrich von Pfalz-Hilpoltstein;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Christoff Griebel, von vndzu Stockhaw;Christoph Griebel zu Stockau
Freÿherrn von Stainach;Johann Jakob von Stainach
PfaltzgraffPhilipps Ludwig;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
alte Herr;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hannß Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
HannsFriderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Gribel;Christoph Griebel zu Stockau
Hannß Jacob von Stainach zu Stainach;Johann Jakob von Stainach
HertzogenAugusto;August, Pfalzgraf (Pfalz-Sulzbach)
Herzogen Hannß Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Hertzog Augusto;August, Pfalzgraf (Pfalz-Sulzbach)
Fürstliche gnaden;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Eleaser Sitzingern von Holenstain;Eleazar Sitzinger
sie;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Pfaltzgraf PhilippLudwigs;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Wolff Wilhalm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
AVGVSTVS;August, Pfalzgraf (Pfalz-Sulzbach)
Jüngste Herr;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
principis;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Erlbeckh;Friedrich Erlbeck von Sinningen
Sitzinger;Eleazar Sitzinger
alteHerr;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hailbronner;Jakob Heilbronner
Christ;Jesus Christus
Erelbeckh;Friedrich Erlbeck von Sinningen
Hannsvon Schönstain;Johann von Schönstein
Johann Fridrich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Pfaltzgrafen von Neuburg;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Durchleucht in Baÿrn;Maximilian I., Herzog/Kurfürst (Bayern)
Haußfraw;Regina Barbara Waiblinger
braut;Susanne Adelgais
