Erwähnung;Personenname
Hannsen Vlrich Öster-;Johann Ulrich Oesterreicher
Abraham Zollickhofer;Abraham Zollikofer von Altenklingen
Hans Ulrich Österreicher;Johann Ulrich Oesterreicher
Neubrunner;Matthäus Neubronner
Zollig-khofer;Abraham Zollikofer von Altenklingen
Ludovicus Camerarius;Ludwig Camerarius
Bernhart Rehlingern;Bernhard von Rehlingen
Fride-rich Ehndorffer;Friedrich Endorfer
Martinus Chemnitius;Martin Chemnitz
Matthias von Carniz;Matthias von Carnitz
Maximilian von Papen-heim;Maximilian von Pappenheim, Landgraf (Stühlingen)
Wolff Wilhelm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hugold Beeren;Hugold von Behr
Jhre Fürstliche Gnaden;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Beer;Hugold von Behr
Lorenzin di Fio-;Lorenzino di Fiorenza
renza;Lorenzino di Fiorenza
Ertzhertzogen Leopoldj;Leopold V., Erzherzog (Österreich-Tirol)
von Pappenhaim;Maximilian von Pappenheim, Landgraf (Stühlingen)
der ReichsMarschalck;Maximilian von Pappenheim, Landgraf (Stühlingen)
Leopoldj;Leopold V., Erzherzog (Österreich-Tirol)
Jhrer Durchleucht;Leopold V., Erzherzog (Österreich-Tirol)
Churfürst von Mentz;Johann Schweikhard von Cronberg, Erzbischof und Kurfürst (Mainz)
Ertzbischof;Johann Schweikhard von Cronberg, Erzbischof und Kurfürst (Mainz)
Churfürst von Cöllen;Ferdinand, Kurfürst (Köln)
Churfürstlichen Durchleucht;Ferdinand, Kurfürst (Köln)
Hieronÿmus Behler;Hieronymus Bechler
Phi-;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
lipps Ludwig;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
ChurCölln;Ferdinand, Kurfürst (Köln)
Ertzbischoff von Saltzburg;Markus Sittikus von Hohenems, Erzbischof (Salzburg)
Johann Georg Küenlin;Johann Georg Kienlin
Georg Zobel;Georg Zobel
Herr;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Lothario;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Jhrer Chur-fürstlichen gnaden;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Johann Schweickart;Johann Schweikhard von Cronberg, Erzbischof und Kurfürst (Mainz)
alter Herr;Johann Schweikhard von Cronberg, Erzbischof und Kurfürst (Mainz)
Churfürst von Trier;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Jhre Churfürstliche gnaden;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Bischoffen von Regenspurgs;Wolfgang von Hausen, Bischof (Regensburg)
Bischoff;Wolfgang von Hausen, Bischof (Regensburg)
IANE SVICARDE;Johann Schweikhard von Cronberg, Erzbischof und Kurfürst (Mainz)
Mentzischer thum-probst;Georg Friedrich, Erzbischof und Kurfürst (Mainz)
Jhren Churfürstlichen Gnaden;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
dumdechant;Hugo Cratz von Scharffenstein
Cantzler;Peter Schneidt
Rudiger von Monnichowen;Rüdiger von Münchow auf Nossow und Seger
Marx Sittich;Markus Sittikus von Hohenems, Erzbischof (Salzburg)
Jhre Hochfürstliche gnaden;Markus Sittikus von Hohenems, Erzbischof (Salzburg)
ChristoffenPhilipps;Philipp Christoph von Sötern, Erzbischof und Kurfürst (Trier)
Augustus;August, Pfalzgraf (Pfalz-Sulzbach)
alte Herr;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
alte fraw Pfaltzgräfin;Anna von Pfalz-Neuburg
Wolfgang Wilhelm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
August;August, Pfalzgraf (Pfalz-Sulzbach)
Johann Friedrich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
alte Herr Pfaltzgraff;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
der gute al-te Herr;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Ertzhertzog Maximi-;Maximilian III., Erzherzog (Österreich)
lianus;Maximilian III., Erzherzog (Österreich)
Kaÿser;Matthias, Kaiser (HRR)
Kaiserin;Anna, Kaiserin (HRR)
Jhrer Hochfürstlichen Durchleucht;Maximilian III., Erzherzog (Österreich)
Ludwigen;Ludwig V., Landgraf (Hessen-Darmstadt)
Friderichen;Friedrich I., Landgraf (Hessen-Homburg)
J. J. F. F. G. G.;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
alte Herr Pfaltzgraf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
gemahlin;Anna von Pfalz-Neuburg
ältere Herr Sohn;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Jhrer Kaÿserlichen Maÿestät;Matthias, Kaiser (HRR)
Hannß Fug-ger;Johann Fugger d. Ä.
Caecilia;Cäcilie von Baden-Rodemachern
Eduardj Fortunadj;Eduard Fortunat, Markgraf (Baden-Baden)
Hanns Georg von Zollern;Johann Georg, Fürst (Hohenzollern-Hechingen)
Hanns Fugger der älter;Johann Fugger d. Ä.
Margräfin;Cäcilie von Baden-Rodemachern
alte Fraw;Cäcilie von Baden-Rodemachern
Churfürst;Ferdinand, Kurfürst (Köln)
Jhre Durchleucht;Leopold V., Erzherzog (Österreich-Tirol)
Zündelin;Philipp Zindelin
Carl Friderich;Karl Friedrich, Herzog (Münsterberg-Oels)
Fürstlichen Gnaden;Karl Friedrich, Herzog (Münsterberg-Oels)
Daniel Schilling;Daniel Schilling von Günzburg
Churfurst;Ferdinand, Kurfürst (Köln)
Durchleucht;Ferdinand, Kurfürst (Köln)
Ertzhertzog Maximilianj;Maximilian III., Erzherzog (Österreich)
Jhre Hoch-fürstliche Durchleucht;Maximilian III., Erzherzog (Österreich)
Kaÿ-ser;Matthias, Kaiser (HRR)
Kaÿserin;Anna, Kaiserin (HRR)
Jhrer Maÿestät;Matthias, Kaiser (HRR)
Hertzog von Münster-;Karl Friedrich, Herzog (Münsterberg-Oels)
berg;Karl Friedrich, Herzog (Münsterberg-Oels)
Fürstliche Gnaden;Karl Friedrich, Herzog (Münsterberg-Oels)
Fürsten;Karl Friedrich, Herzog (Münsterberg-Oels)
Herr Churfürst;Ferdinand, Kurfürst (Köln)
Jhre Churfürstliche Durchleucht;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Wolff Wilhelms;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
fürst;Ferdinand, Kurfürst (Köln)
EÿtelFriderich von Zollern;Eitel Friedrich, Bischof (Osnabrück)
Hertzog in Baÿrn;Maximilian I., Herzog/Kurfürst (Bayern)
Baÿren;Maximilian I., Herzog/Kurfürst (Bayern)
Doctor Behler;Hieronymus Bechler
Hanns Schad;Hans Schad
Doctor Beh-ler;Hieronymus Bechler
Hannß Schad;Hans Schad
Behler;Hieronymus Bechler
gnaden;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Jhre;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Churfürstliche Durchleucht;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
von Vlm;Johann Ludwig von Ulm
eÿßgrawe Herr;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
Johann Philipps Fuchs von Bimbach;Hans Philipp Fuchs von Bimbach
Va-lentin von Selbitz;Valentin von Selbitz
Hugold Beer;Hugold von Behr
Herrn Churfürsten;Ferdinand, Kurfürst (Köln)
Arnold;Arnold von Bocholtz
Herrn Bischoff;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Jhre Fürstliche gnaden;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Maximilian;Maximilian I., Herzog/Kurfürst (Bayern)
Kaiserin Anna;Anna, Kaiserin (HRR)
Spanischen;Baltasar de Zúñiga
Frantzösischen Am-baßator;Nicolas de Baugy
grafen von;Wolf Konrad von Rechberg
Rechberg;Wolf Konrad von Rechberg
von Haßlang;Alexander von Haßlang
Monsieur de Baugÿ;Nicolas de Baugy
Zacharias Geitzkofler;Zacharias Geizkofler
SignorContarini;Francesco Contarini
Signor Lando;Gerolamo Lando
ALEXANDER AB HASLANG;Alexander von Haßlang
MAXIMILIANI;Maximilian I., Herzog/Kurfürst (Bayern)
Nanj;Agostino Nani
Contarinj;Francesco Contarini
ordinari Ambassador;Gerolamo Lando
MATTHIAS;Matthias, Kaiser (HRR)
Jhre Maÿestät;Matthias, Kaiser (HRR)
Ertzhertzog Maximilian;Maximilian III., Erzherzog (Österreich)
Churfürstvon Trier;Lothar von Metternich, Kurfürst und Erzbischof (Trier)
bischoff von Bamberg;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Land-graf Ludwig;Ludwig V., Landgraf (Hessen-Darmstadt)
Ertz-bischoff von Saltzburg;Markus Sittikus von Hohenems, Erzbischof (Salzburg)
Ertzhertzog Leopold;Leopold V., Erzherzog (Österreich-Tirol)
Bischoff vonSpeÿr;Philipp Christoph von Sötern, Erzbischof und Kurfürst (Trier)
Abt von Fulda;Johann Friedrich von Schwalbach, Fürstabt (Fulda)
Herren Contarinj;Francesco Contarini
Herr Nanj;Agostino Nani
Baltassar de Zuniga;Baltasar de Zúñiga
Signor Nanj;Agostino Nani
de Zuniga;Baltasar de Zúñiga
Signorde Zuniga;Baltasar de Zúñiga
Augostino Nanj;Agostino Nani
Adamvon Herberstorff;Adam von Herberstorff
ADAM: COMES IN HERBERSDORFF;Adam von Herberstorff
MAIESTATI;Matthias, Kaiser (HRR)
MAXIMILIANO;Maximilian I., Herzog/Kurfürst (Bayern)
Comes;Adam von Herberstorff
Joachim Rieter von Kornburg;Joachim Rieter von Kornburg
Rietern;Joachim Rieter von Kornburg
Rieter;Joachim Rieter von Kornburg
alteHerr Pfaltzgraff;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Zacharias Geÿtzkofler;Zacharias Geizkofler
Frawgemahlin;Anna von Pfalz-Neuburg
August von Pfalz-Sulzbach;August, Pfalzgraf (Pfalz-Sulzbach)
Johann Friedrich von Pfalz-Hilpoltstein;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Herr Geitzkofler;Zacharias Geizkofler
Heiche-lin;Caspar Heuchelin
Hailbruner;Jakob Heilbronner
Wolf Wilhalm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Jhre fürstliche gnaden;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
HugoldBeer von Hugoldsdorff;Hugold von Behr
Kayserlichen Mayestät;Matthias, Kaiser (HRR)
Matthias;Matthias, Kaiser (HRR)
Friderich Casimirs;Friedrich Kasimir, Graf (Ortenburg)
Georg Fuggers;Georg Fugger zu Wasserburg und Tratzberg
