Erwähnung;Personenname
Albrechts;Bernhard Albrecht
Anthoni Felix Welsers;Anton Felix Welser
Hanß Wachter;Hans Wachter
ainspenninger;Hans Wachter
obriste Cammerer;Rodrigo de Barragán y Banousen
Herr Marggraf;Georg Friedrich, Markgraf (Baden-Durlach)
Fürstliche Gnaden;Georg Friedrich, Markgraf (Baden-Durlach)
sie;Agathe zu Solms-Laubach
obristen Cammerer;Rodrigo de Barragán y Banousen
Schrencken;Friedrich Schrenck von Notzing
Wilhelm Bienner;Wilhelm Bienner
obriste Camerer;Rodrigo de Barragán y Banousen
Hannß Ru-dolph Ehinger;Johann Rudolf Ehinger von Balzheim
Hannß Schad;Hans Schad
Ehinger;Johann Rudolf Ehinger von Balzheim
Hannß Vlrich Krafft;Hans Ulrich Krafft
er;Philipp Christoph von Sötern, Erzbischof und Kurfürst (Trier)
Magister Albertum;Bernhard Albrecht
Welser;Anton Felix Welser
Churfürstlichen Gnaden;Friedrich V., Kurfürst (Pfalz)
Churfürstlichen Gemahlin;Elisabeth von England
Canzler;Johann Peter Breitenacker
Graffenvon Solms;Johann Albrecht I., Graf (Solms-Braunfels)
de Bleß;Volrad von Plessen
Her Graff;Johann Albrecht I., Graf (Solms-Braunfels)
Churfürsten;Friedrich V., Kurfürst (Pfalz)
Gemahl;Agathe zu Solms-Laubach
von Schönberg;Hans Meinhard von Schönberg
obrist hoffmeister;Johann Albrecht I., Graf (Solms-Braunfels)
obristCanzler;Johann Christoph von der Grün
Herr de Bleß;Volrad von Plessen
Reingraff;Johann Konrad von Salm-Dhaun
Graff von Wittichstein;Ludwig zu Sayn-Wittgenstein-Wittgenstein
Churfürstine;Elisabeth von England
Churfüstlichen Gemahlin;Elisabeth von England
obristen Canzler;Johann Christoph von der Grün
Churfürstin;Elisabeth von England
Canzlers;Johann Christoph von der Grün
Herrn;Friedrich V., Kurfürst (Pfalz)
obristen von Schonbergs Gemahlin;Anne Sutton
Churfürst;Friedrich V., Kurfürst (Pfalz)
de bleß;Volrad von Plessen
Lingelßheimer;Georg Michael Lingelsheim
