Erwähnung;Personenname
Durchleuchtiger Hochgeborner Fürst;Philipp II., Herzog (Pommern-Stettin)
Hannß RuedolphEhingern;Johann Rudolf Ehinger von Balzheim
Hannß Vlrich Crafften;Hans Ulrich Krafft
Bechlern;Hieronymus Bechler
Cristophenvon Laÿmingen;Christoph von Laimingen
Ernst;Ernst von Löwenstein-Wertheim
Friedrich Ludwig;Friedrich Ludwig von Löwenstein-Wertheim
Georg Ludwig;Georg Ludwig von Löwenstein-Wertheim-Scharfeneck
Johann Hermann;Johann Hermann von Löwenstein-Wertheim
Johann Kasimir von Löwenstein-Wertheim;Johann Kasimir von Löwenstein-Wertheim
Johann Jakob Wurmser;Johann Jakob Wurmser
Berca;Adam Gottfried Berka von Dubá und Lipa
Christophvon Laÿmingen;Christoph von Laimingen
Hoff Prediger;Johannes Hauber
Anweÿl;Ludwig Friedrich von Anweil
Ludwig Fri-derich;Ludwig Friedrich, Herzog (Württemberg-Mömpelgard)
Wurmbser;Johann Jakob Wurmser
Magnus;Magnus, Herzog (Württemberg-Neuenbürg)
von Stockheim;Johann Nikolaus von Stockheim
Ludwig Friderich;Ludwig Friedrich, Herzog (Württemberg-Mömpelgard)
Achilles Friderich;Friedrich Achilles, Herzog (Württemberg-Neuenstadt)
Magnuß;Magnus, Herzog (Württemberg-Neuenbürg)
Marggrauen von Baden;Georg Friedrich, Markgraf (Baden-Durlach)
Herrn Marggrauenvon Onoltzbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Regierend Herr;Johann Friedrich, Herzog (Württemberg)
Ludwig;Ludwig Friedrich, Herzog (Württemberg-Mömpelgard)
Herrn Churfürsten von Haidelberg;Friedrich V., Kurfürst (Pfalz)
Princeßin;Elisabeth von England
Regierenden Herrn;Johann Friedrich, Herzog (Württemberg)
Barbara Sophie von Brandenburg;Barbara Sophie von Brandenburg
Agnes;Agnes von Württemberg
Barbara;Barbara von Württemberg
Anna von Württemberg;Anna von Württemberg
Ursula von Pfalz-Veldenz-Lützelstein;Ursula von Pfalz-Veldenz-Lützelstein
Fürstin;Barbara Sophie von Brandenburg
Herr Margraf von Durrlach;Georg Friedrich, Markgraf (Baden-Durlach)
RegierendeFürstin;Barbara Sophie von Brandenburg
Marggraf;Georg Friedrich, Markgraf (Baden-Durlach)
Fraw Margräuin;Agathe von Erbach
Freulin;Anna von Württemberg
Margraf von Onoltzbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Herr Churfürst vonHaÿdelberg;Friedrich V., Kurfürst (Pfalz)
Churfürstin;Elisabeth von England
Regierendt Herr;Johann Friedrich, Herzog (Württemberg)
Witwe;Ursula von Pfalz-Veldenz-Lützelstein
Herr Churfürst;Friedrich V., Kurfürst (Pfalz)
