Name,Geburtsjahr,Todesjahr,Konfession,Biographie,Vorkommen,Varianten,Autor von,Anfangsjahr,Schlussjahr,Ist Mitglied von,Kategorien,Kommentar,Urheber von,Mitglieder,Dargestellt in,Literatur,Externe Ressourcen
Hans von Aachen,1552,1615,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Aaron, biblische Person",,,andere,,,,,,,,,,,,,,Sandrart.net:
"Aba Sámuel, König (Ungarn)",ca. 990,1044,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Abed-Nego, biblische Person",,,andere,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Abel, biblische Person",,,andere,,,,,,,,,,,,,,Sandrart.net:
Johann Wilhelm Abel,,,protestantisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Veit Abel,,ca. 1630,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
Niclas von Abensberg,1441,1485,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Abiram, biblische Person",,,andere,,,,,,,,,,,,,", S. 11–12",Gemeinsame Normdatei (GND):
"Abner, biblische Person",,,andere,,,,,,,,,,,,,", S. 12–13",Sandrart.net:
Alessandro Abondio,ca. 1570,1648,katholisch,,,,,,,,,,,,,,Sandrart.net:
"Abraham, Erzvater",,,andere,,,,,,,,,,,,,", S. 19–22",Sandrart.net:
"Absalom, biblische Person",,,andere,,,,,,,,,,,,,", S. 15",Sandrart.net:
Hans Heinrich von Absberg,,,protestantisch,,,,,,,,,,,,,",",
Walter Ach,ca. 1570,zwischen 1630 und 1635,katholisch,,,,,,,,,,,,,",",Gemeinsame Normdatei (GND):
Achates,,,keine Angabe,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
"Acheloos, Gott",,,keine Angabe,,,,,,,,,,,,,", Bd. 1, Sp. 6 ff.",Sandrart.net:
Paulus zum Acker,,,keine Angabe,,,,,,,,,,,,,", S. 62, 618, 654, 662",Gemeinsame Normdatei (GND):
"Ada, biblische Person",,,andere,,,,,,,,,,,,,", S. 31",Gemeinsame Normdatei (GND):
"Adalbert III., Graf (Bogen)",,1197,katholisch,,,,,,,,,,,,,,Gemeinsame Normdatei (GND):
