Name;Geburtsjahr;Todesjahr;Konfession;Kategorie;Mitglied von;Urheber von;Autor von;Mitglieder;Wirkungsjahre
Hans von Aachen;1552;1615;katholisch;Künstler: Malerei;;"Pietà; Porträt von Heinrich Julius zu Braunschweig-Lüneburg; Stammbücher Philipp Hainhofers";;;
Johann Wilhelm Abel;;;protestantisch;Hofleute, höfische Administration;;;;;um 1614/1616 nachgewiesen
Veit Abel;;1630;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Alessandro Abondio;1570;1648;katholisch;Künstler: Skulptur;;Venus und Cupido (Toilette der Venus);;;
Hans Heinrich von Absberg;;;protestantisch;Hofleute, höfische Administration;;;;;1611–1617
Walter Ach;1570;;katholisch;Hofleute, höfische Administration;;;;;
Paulus zum Acker;;;keine Angabe;Hofleute, höfische Administration;;;;;zwischen 1598 und 1628
Adalbert von Pommern, Bischof (Pommern);;;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Adam Wenzel, Herzog (Teschen und Großglogau);1574;1617;"protestantisch; katholisch";Angehörige der Aristokratie;;;;;
Susanne Adelgais;;;protestantisch;Sonstige;;;;;1613–1623 nachgewiesen
Johann Christoph von Adelsheim;1581;1632;protestantisch;"Hofleute, höfische Administration; Angehörige der Aristokratie";;;;;
Christoph Adler;;;keine Angabe;Städtische Administration;Rat der Stadt Regensburg;;;;1609–1613 nachgewiesen
Adolf VII., Herzog (Jülich-Berg);;;katholisch;Angehörige der Aristokratie;;;;;vor 1395 bis 1437
Adolf Friedrich I., Herzog (Mecklenburg);1588;1658;protestantisch;Angehörige der Aristokratie;;"Gideons Sieg über die Midianiter (Stammbuchblatt); Gnadenpfennig Adolf Friedrich I. von Mecklenburg; Stammbuch Philipps II. von Pommern-Stettin";;;
Adrian II. von Riedmatten, Bischof (Sitten);1550;1613;katholisch;"Angehörige von Klerus und Ordensgemeinschaften; Angehörige der Aristokratie";;;;;
Friedrich Kasimir von Affenstein;;1622;protestantisch;Angehörige des Militärs;;;;;
Jakob Philipp von Affenstein;1551;1622;keine Angabe;"Angehörige des Militärs; Angehörige der Aristokratie";;;;;
Georg Wolfgang Agricola;;1632;katholisch;Hofleute, höfische Administration;;;;;
Johann Georg Agricola;1558;1633;protestantisch;Gelehrte und Schriftsteller;;;;;
Melchior Agster;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;um 1636 tätig
Felicitas Aichmann;;;protestantisch;Sonstige;;;;;1596–1621 nachgewiesen
Johann Albin;;1620;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;1598–1620 nachweisbar
Christoph Albinus;1573;1637;keine Angabe;Gelehrte und Schriftsteller;;;;;
Antonio Albizzi;1547;1626;"katholisch; protestantisch";Gelehrte und Schriftsteller;;;Albizzi, Antonio, und Dominicus Custos: Principum Christianorum Stemmata, Augsburg 1608;;
Albrecht VI., Landgraf (Bayern-Leuchtenberg);1584;1666;katholisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Albrecht VII., Erzherzog (Österreich);1559;1621;katholisch;"Angehörige der Aristokratie; Angehörige von Klerus und Ordensgemeinschaften";"Habsburger (Dynastie); Orden vom Goldenen Vlies";Stammbuch Philipps II. von Pommern-Stettin;;;
Bernhard Albrecht;1569;1636;protestantisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Albrecht Friedrich, Herzog (Preußen);1553;1618;protestantisch;Angehörige der Aristokratie;;;;;
Albrecht Günther, Graf (Schwarzburg-Rudolstadt);1582;1634;protestantisch;Angehörige der Aristokratie;;;;;
Albrecht Karl, Markgraf (Baden-Baden);1598;1626;katholisch;Angehörige der Aristokratie;;;;;
Albrecht, Herzog (Sachsen-Eisenach);1599;1644;protestantisch;Angehörige der Aristokratie;;;;;
Catherine d’Alençon;;;katholisch;Angehörige der Aristokratie;;;;;vor 1396 bis 1462
Bartholomäus Algeyer;;;keine Angabe;Kaufleute, Gewerbetreibende, Dienstleister;;;;;
Leone Allacci;1586;1669;"andere; katholisch";Angehörige von Klerus und Ordensgemeinschaften;;;;;
Allucius, Fürst der Keltiberer;;;keine Angabe;Angehörige der Aristokratie;;;;;
David Altenstetter;1547;1617;protestantisch;Künstler: Angewandte Kunst;;Pommerscher Kunstschrank;;;
Amadís de Gaula, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Christoph Amberger;;;katholisch;"Künstler: Malerei; Künstler: Graphik";;;;;
Verena Ammann;;;keine Angabe;Sonstige;;;;;
Carolus Andreae;1550;1627;katholisch;Angehörige von Klerus und Ordensgemeinschaften;;;;;
Andristator, literarische Gestalt;;;keine Angabe;Sonstige;;;;;
Christoph Angermair;1580;1633;katholisch;"Künstler: Skulptur; Künstler: Angewandte Kunst";;Pommerscher Kunstschrank;;;
Dorothea von Anhalt-Zerbst;1607;1634;protestantisch;Angehörige der Aristokratie;;;;;
Agnes Hedwig von Anhalt;1573;1616;protestantisch;Angehörige der Aristokratie;;Stammbuch Philipps II. von Pommern-Stettin;;;
Eleonore Marie von Anhalt-Bernburg;1600;1657;protestantisch;Angehörige der Aristokratie;;;;;
Dorothea Maria von Anhalt;1574;1617;keine Angabe;Angehörige der Aristokratie;;;;;
Sibylla von Anhalt;1564;1614;protestantisch;"Angehörige der Aristokratie; Sammler / Auftraggeber";;"Leonberg, Schloss Leonberg; Leonberg, Schloss Leonberg, Schlossgarten";;;
